question_key,front_text,back_text,total_shown,total_correct,total_incorrect,streak,accuracy,created_at,updated_at,last_shown_at,last_answered_at,days_since_last_shown,age_days,streak_contribution,decay_factor,new_factor,frequency_factor,score_no_noise,rank_global,in_mixup_pool,hosting_test_ids,hosting_group_ids,mixup_target_test_count,w_streak_negative,w_streak_positive,w_decay,w_new,w_freq
暇ひま - свободен,暇,ひま - свободен,9,0,9,-9,0.0,2026-03-20T16:29:40.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,49,56,0.5,1.0,0.0,1.0,0.9500000000000001,1,0,,,0,0.5,0.35,0.3,0.2,0.15
文ぶん - предложение,文,ぶん - предложение,9,0,9,-9,0.0,2026-03-20T16:29:40.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,49,56,0.5,1.0,0.0,1.0,0.9500000000000001,2,0,,,0,0.5,0.35,0.3,0.2,0.15
持もつ - держать,持,もつ - держать,9,1,8,-7,0.1111111111111111,2026-03-20T16:29:40.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,49,56,0.5,1.0,0.0,0.8888888888888888,0.9333333333333333,3,0,,,0,0.5,0.35,0.3,0.2,0.15
道みち (дорога),道,みち (дорога),19,6,13,-7,0.3157894736842105,2026-03-11T21:23:40.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,49,64,0.5,1.0,0.0,0.6842105263157895,0.9026315789473685,4,0,,,0,0.5,0.35,0.3,0.2,0.15
書かく (писать),書,かく (писать),17,6,11,-5,0.35294117647058826,2026-03-11T21:23:40.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,2026-03-26T19:10:43.000,49,64,0.5,1.0,0.0,0.6470588235294118,0.8970588235294118,5,0,,,0,0.5,0.35,0.3,0.2,0.15
дух気 | き,дух,気 | き,3,0,3,-3,0.0,2026-03-27T01:14:18.000,2026-03-27T22:20:19.000,2026-03-27T22:20:19.000,2026-03-27T22:20:19.000,48,49,0.3,1.0,0.4,1.0,0.83,6,0,,,0,0.5,0.35,0.3,0.2,0.15
свободен暇 | ひま,свободен,暇 | ひま,3,0,3,-3,0.0,2026-03-27T01:04:02.000,2026-04-15T20:52:35.000,2026-04-15T20:52:35.000,2026-04-15T20:52:35.000,29,49,0.3,0.9666666666666667,0.4,1.0,0.82,7,0,,,0,0.5,0.35,0.3,0.2,0.15
отдыхать休む | やすーむ,отдыхать,休む | やすーむ,3,0,3,-3,0.0,2026-03-27T01:25:31.000,2026-04-15T20:31:55.000,2026-04-15T20:31:55.000,2026-04-15T20:31:55.000,29,49,0.3,0.9666666666666667,0.4,1.0,0.82,8,0,,,0,0.5,0.35,0.3,0.2,0.15
не хватать欠 | かける,не хватать,欠 | かける,2,0,2,-2,0.0,2026-03-27T01:32:32.000,2026-04-13T22:05:15.000,2026-04-13T22:05:15.000,2026-04-13T22:05:15.000,31,49,0.2,1.0,0.6,1.0,0.77,9,0,,,0,0.5,0.35,0.3,0.2,0.15
длинный長 | ながい,длинный,長 | ながい,2,0,2,-2,0.0,2026-03-27T01:14:18.000,2026-03-27T22:15:37.000,2026-03-27T22:15:37.000,2026-03-27T22:15:37.000,48,49,0.2,1.0,0.6,1.0,0.77,10,0,,,0,0.5,0.35,0.3,0.2,0.15
рыба魚 | さかな,рыба,魚 | さかな,2,0,2,-2,0.0,2026-03-27T01:14:18.000,2026-03-27T22:15:37.000,2026-03-27T22:15:37.000,2026-03-27T22:15:37.000,48,49,0.2,1.0,0.6,1.0,0.77,11,0,,,0,0.5,0.35,0.3,0.2,0.15
овца羊 | ひつじ,овца,羊 | ひつじ,2,0,2,-2,0.0,2026-03-27T01:20:07.000,2026-03-27T22:20:19.000,2026-03-27T22:20:19.000,2026-03-27T22:20:19.000,48,49,0.2,1.0,0.6,1.0,0.77,12,0,,,0,0.5,0.35,0.3,0.2,0.15
снаружи外 | そと,снаружи,外 | そと,2,0,2,-2,0.0,2026-03-27T01:20:07.000,2026-03-27T22:20:19.000,2026-03-27T22:20:19.000,2026-03-27T22:20:19.000,48,49,0.2,1.0,0.6,1.0,0.77,13,0,,,0,0.5,0.35,0.3,0.2,0.15
かける (не хватать)欠,かける (не хватать),欠,2,0,2,-2,0.0,2026-03-15T14:00:34.000,2026-03-15T14:07:44.000,2026-03-15T14:07:44.000,2026-03-15T14:07:44.000,61,61,0.2,1.0,0.6,1.0,0.77,14,0,,,0,0.5,0.35,0.3,0.2,0.15
みち (дорога)道,みち (дорога),道,2,0,2,-2,0.0,2026-03-15T14:00:34.000,2026-03-15T14:07:44.000,2026-03-15T14:07:44.000,2026-03-15T14:07:44.000,61,61,0.2,1.0,0.6,1.0,0.77,15,0,,,0,0.5,0.35,0.3,0.2,0.15
消かる | исчезать,消,かる | исчезать,3,0,3,-3,0.0,2026-04-13T18:40:11.000,2026-04-21T18:53:26.000,2026-04-21T18:53:26.000,2026-04-21T18:53:26.000,23,31,0.3,0.7666666666666667,0.4,1.0,0.7600000000000001,16,0,,,0,0.5,0.35,0.3,0.2,0.15
карандаш鉛筆 | えんぴつ,карандаш,鉛筆 | えんぴつ,2,0,2,-2,0.0,2026-03-27T01:08:19.000,2026-04-15T20:52:35.000,2026-04-15T20:52:35.000,2026-04-15T20:52:35.000,29,49,0.2,0.9666666666666667,0.6,1.0,0.76,17,0,,,0,0.5,0.35,0.3,0.2,0.15
жарко暑 | あつい,жарко,暑 | あつい,2,0,2,-2,0.0,2026-03-27T01:14:18.000,2026-04-15T20:52:35.000,2026-04-15T20:52:35.000,2026-04-15T20:52:35.000,29,49,0.2,0.9666666666666667,0.6,1.0,0.76,18,0,,,0,0.5,0.35,0.3,0.2,0.15
買かう (купить),買,かう (купить),1,0,1,-1,0.0,2026-03-03T21:18:45.000,2026-03-03T21:18:45.000,2026-03-03T21:18:45.000,2026-03-03T21:18:45.000,72,72,0.1,1.0,0.8,1.0,0.7100000000000001,19,0,,,0,0.5,0.35,0.3,0.2,0.15
母haha (мать),母,haha (мать),1,0,1,-1,0.0,2026-03-03T21:18:45.000,2026-03-03T21:18:45.000,2026-03-03T21:18:45.000,2026-03-03T21:18:45.000,72,72,0.1,1.0,0.8,1.0,0.7100000000000001,20,0,,,0,0.5,0.35,0.3,0.2,0.15
しめる (занять/оккупировать)占める,しめる (занять/оккупировать),占める,1,0,1,-1,0.0,2026-03-02T22:30:00.000,2026-03-02T22:30:00.000,2026-03-02T22:30:00.000,2026-03-02T22:30:00.000,73,73,0.1,1.0,0.8,1.0,0.7100000000000001,21,0,,,0,0.5,0.35,0.3,0.2,0.15
まん (10 тысяч)万,まん (10 тысяч),万,1,0,1,-1,0.0,2026-03-02T22:30:00.000,2026-03-02T22:30:00.000,2026-03-02T22:30:00.000,2026-03-02T22:30:00.000,73,73,0.1,1.0,0.8,1.0,0.7100000000000001,22,0,,,0,0.5,0.35,0.3,0.2,0.15
